# ----------------------------------------
# http://www.talo.co.jp - GA4
# 自由形式-自由形式 1
# 20260217-20260316
# ----------------------------------------

				ページパス + クエリ文字列	/thanks/catalog.html	/thanks/entry.html	/thanks/catalog.html	/thanks/catalog.html	/thanks/catalog.html	合計
				セッションの Google 広告キーワードのテキスト	(not set)	(not set)	ログハウス	ログハウス メーカー	セルフビルド キット	合計
日時（YYYYMMDDHH）	セッションのデフォルト チャネル グループ	セッションの参照元 / メディア	セッションのキャンペーン	セッションの Google 広告グループ名	アクティブ ユーザー	アクティブ ユーザー	アクティブ ユーザー	アクティブ ユーザー	アクティブ ユーザー	アクティブ ユーザー
					120	9	4	2	2	156	総計
2026030119	Display	ig / display	display	(not set)	2	0	0	0	0	2
2026031111	Display	ig / display	display	(not set)	2	0	0	0	0	2
2026031221	Display	ig / display	display	(not set)	2	0	0	0	0	2
2026021709	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026021712	Organic Search	google / organic	(organic)	(not set)	1	0	0	0	0	1
2026021715	Organic Social	ig / social	(referral)	(not set)	1	0	0	0	0	1
2026021801	Organic Search	google / organic	(organic)	(not set)	1	0	0	0	0	1
2026021806	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026021812	Direct	(direct) / (none)	(direct)	(not set)	0	0	0	0	0	1
2026021816	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026021818	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026021820	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026021901	Paid Search	google / cpc	G_LIS_Google検索240807	一般検索	0	0	1	0	0	1
2026021913	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026021920	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022013	Paid Search	google / cpc	G_LIS_Google検索240807	指名検索	0	0	0	0	0	1
2026022014	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022021	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022022	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022106	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022108	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022109	Organic Search	yahoo / organic	(organic)	(not set)	1	0	0	0	0	1
2026022110	Organic Search	bing / organic	(organic)	(not set)	1	0	0	0	0	1
2026022112	Paid Search	google / cpc	G_LIS_Google検索240807	指名検索	0	0	0	0	0	1
2026022116	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022122	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022122	Paid Search	google / cpc	G_LIS_Google検索240807	一般検索	0	0	0	0	0	1
2026022207	Direct	(direct) / (none)	(direct)	(not set)	0	1	0	0	0	1
2026022216	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022309	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022309	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022309	Organic Search	google / organic	(organic)	(not set)	1	0	0	0	0	1
2026022310	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022311	Organic Video	youtube.com / referral	(referral)	(not set)	1	0	0	0	0	1
2026022314	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022320	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022321	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022321	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022322	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022413	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022416	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022419	Paid Search	google / cpc	G_LIS_Google検索240807	指名検索	0	0	0	0	0	1
2026022420	Direct	(direct) / (none)	(direct)	(not set)	1	0	0	0	0	1
2026022507	Paid Search	google / cpc	G_LIS_Google検索240807	指名検索	0	0	0	0	0	1
2026022517	Organic Search	yahoo / organic	(organic)	(not set)	1	0	0	0	0	1
2026022519	Organic Search	google / organic	(organic)	(not set)	1	0	0	0	0	1
2026022521	Paid Search	google / cpc	G_LIS_Google検索240807	一般検索	0	0	0	0	0	1
2026022522	Paid Search	google / cpc	G_LIS_Google検索240807	指名検索	0	0	0	0	0	1
2026022523	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022615	Cross-network	google / cpc	G_DIS_ファインド250219	(not set)	1	0	0	0	0	1
2026022619	Display	ig / display	display	(not set)	1	0	0	0	0	1
2026022621	Display	ig / display	display	(not set)	1	0	0	0	0	1
